Language,Generated_ParticipantID,Duration (in seconds),Q1,Q1_Other,Q2,Q3,Q4,Q5,Q6,Q7,Q7_Other,Q8,Q9,Q10,Q10_Other,Q11,Q11_Other,Q12,Q13_Small,Q13_Mid,Q13_Large,Q14_Small,Q14_Mid,Q14_Large,Q15_Local,Q15_State,Q15_Federal,Q16,Q16_Other,Q17,Q18,Q18_Other,Q19,Q20,Q20_Other,Q21,Q21_Other,Q22,Q23,Q24,Q24_Other,Q25,Q25_Other,Q26,Q26_Other,Q27,Q27_Number,Q28,Q28_Other,Q29,Q30,Q31,Q32,Q33,Q34,Q35_City,Q35_Zip
English,5891978,2189,"Improved air quality,Improved stormwater quality,Stress reduction",,"Long-standing water bodies,Wildlife commonly found near water",(4) Trans-Brazos Region,Yes,Often (At least once a month),Always (every time it rains),"Blocked or clogged drainage systems,Increased development or urbanization,Nearby waterways overflowing",,$5000-$10000,Less than or at ankle level,"Property damage,Loss of work or income,Mental health impact,Increased cost for repairs or flood proofing",,Installed flood barriers or sandbags around my property,,"Nature-based detention pond,Large park,Wetland conservation",Rain garden,"Pocket prairie,Urban forestry",Large park,2,,1,Yes,Yes,Yes,I do not know,,No trust,"Attracting unwanted pests,Increased taxes,Not fitting into community look/aesthetic,Space requirements",,Slightly satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness,Enhanced coordination with other local organizations/agencies,Improved use of technology for flood risk information",,"Better information sharing,Establishing community advisory boards,Involving local schools and community groups,Providing resources for community action,Compensation for time",,There are no meetings available related to this topic,Not at all involved,I am not part of any organizations focused on drainage and flooding issues,,,,,,Please type a number,49,White,,No,None of the above,Over 20 years,Bachelor's Degree,$100000-$149999,I own my home.,Baytown,77521
Spanish,3360522,64023,"Neighborhood beautification,Improved air quality,Improved soil quality",,I do not know,I am not sure which critical wetland is located upstream of me.,No,Never,Never,Not applicable (neighborhood does not flood),,$0 ,Less than or at ankle level,I have not experienced any of these events,,Not applicable (flooding has not affected my residence) ,,I have not seen any of the GSI examples in my community,Rain garden,Nature-based detention pond,Large park,,1,,I don't know,I don't know,Yes,City of Houston and other Municipalities (Municipal Utility District MUDs),,No trust,"High installment costs,Increased taxes,Maintenance issues",,There is no information available,"Better access to emergency resources and assistance,Improved use of technology for flood risk information,Improved translation and accessibility information for non-English speakers",,"Better information sharing,Involving local schools and community groups,Compensation for time",,There are no meetings available related to this topic,Not at all involved,I am not part of any organizations focused on drainage and flooding issues,,Community bulletin posts,,From a family member,,Please type a number,58,White,,Yes,None of the above,Over 20 years,Less than a high school diploma or equivalent,$25000-$34999,I own my home.,Houston,77022
English,45564973,1198,"Neighborhood beautification,Improved air quality,Improved stormwater quality",,"Long-standing water bodies,A drainage ditch nearby",I am not sure which critical wetland is located upstream of me.,Yes,Rarely (once a year or less),Rarely (once a year or less),"Blocked or clogged drainage systems,Inadequate stormwater infrastructure size",,$0 ,Less than or at ankle level,Interruption of utility services,,"Requested assistance from local government to improve drainage,Only my landlord can take action to address or reduce flooding at my residence",,I have not seen any of the GSI examples in my community,Rainwater harvesting,Nature-based detention pond,Large park,1,3,2,Yes,Yes,Yes,Harris County Flood Control District (HCFCD),,Slight trust,"Attracting unwanted pests,Displacement due to environmental projects",,Moderately satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness,Better access to emergency resources and assistance",,"Better information sharing,Establishing community advisory boards,Providing resources for community action",,I occasionally attend meetings,Moderately involved,My local neighborhood association or homeowners association (HOA),,Community bulletin posts,,From a family member,,Please type a number,40,Black or African American,,No,None of the above,1-5 years,Some college,$10000-$14999,I rent my home.,Houston,77028
Spanish,43390522,2807,"Improved air quality,Improved stormwater quality,Improved soil quality",,I do not know,I am not sure which critical wetland is located upstream of me.,Yes,Never,Never,Not applicable (neighborhood does not flood),,$0 ,Less than or at ankle level,I have not experienced any of these events,,I have not taken any measures to address or reduce flooding,,I have not seen any of the GSI examples in my community,Rainwater harvesting,I prefer not to implement mid-scale GSI in my community,Wetland restoration (inland or coastal),,,2,I don't know,I don't know,I don't know,I do not know,,Slight trust,Lack of educational resources for the community,,Moderately satisfied,Improved translation and accessibility information for non-English speakers,,"Providing resources for community action,Compensation for time,Host more regular and diverse community meetings representative of the community,Providing multilingual interpretation services",,I occasionally attend meetings,Very involved,I am not part of any organizations focused on drainage and flooding issues,,Phone Calls,,From a neighbor,,Please type a number,47,Other:,Hispanic/Latino,Yes,I live in a non-English proficient household,6-10 years,Less than a high school diploma or equivalent,$15000-$24999,I rent my home.,Houston,77022
English,30980955,2643,"Neighborhood beautification,Improved air quality,Improved stormwater quality",,I do not know,(2) Greater Lake Creek,I do not know,Rarely (once a year or less),Rarely (once a year or less),Heavy rainfall or storms,,$0 ,Not applicable (no experiences with flooding),I have not experienced any of these events,,Not applicable (flooding has not affected my residence) ,,I have not seen any of the GSI examples in my community,I prefer not to implement small-scale GSI in my community,Nature-based detention pond,Large park,3,2,1,Yes,Yes,Yes,I do not know,,,Equity in implementation,,There is no information available,More frequent updates on local flood risks,,Better information sharing,,There are no meetings available related to this topic,Not at all involved,I am not part of any organizations focused on drainage and flooding issues,,Facebook Posts,,From a neighbor,,Please type a number,57,White,,Yes,None of the above,Over 20 years,High school diploma or equivalent,$25000-$34999,I own my home.,Baytown,77520
English,43570211,6427,"Neighborhood beautification,Improved air quality,Stress reduction",,"Long-standing water bodies,Aquatic (water) plants,Consistently-saturated soil",,I do not know,Always (every time it rains),Always (every time it rains),"Heavy rainfall or storms,Blocked or clogged drainage systems,Aging infrastructure",,$1000-$5000,Less than or at ankle level,"Property damage,Loss of work or income,Mental health impact,Displacement from home",,Only my landlord can take action to address or reduce flooding at my residence,,I have not seen any of the GSI examples in my community,"Rain garden,Rainwater harvesting","Nature-based detention pond,Urban forestry","Large park,Wetland conservation,Wetland restoration (inland or coastal)",,2,3,Yes,Yes,I don't know,Harris County Flood Control District (HCFCD),,Moderate trust,"Attracting unwanted pests,Equity in implementation,High installment costs,Increased taxes,Lack of educational resources for the community",,Slightly satisfied,"More frequent updates on local flood risks,Better access to emergency resources and assistance,More targeted outreach to vulnerable populations",,"Better information sharing,Involving local schools and community groups,Providing resources for community action,Compensation for time,Host more regular and diverse community meetings representative of the community",,I occasionally attend meetings,Somewhat involved,I am not part of any organizations focused on drainage and flooding issues,,Community bulletin posts,,From an advertisement,,Please type a number,45,White,,No,LGBTQIA+ ,Less than a year,Bachelor's Degree,$35000-$49999,I rent my home.,Baytown,77521
English,40336943,1282,"Neighborhood beautification,Improved air quality,Improved stormwater quality",,"Long-standing water bodies,A drainage ditch nearby",,Yes,Always (every time it rains),Always (every time it rains),"Heavy rainfall or storms,Blocked or clogged drainage systems,Nearby waterways overflowing",,$500-$1000,Less than or at ankle level,"Loss of work or income,Mental health impact",,Only my landlord can take action to address or reduce flooding at my residence,,"Large park,Pocket wetland",Permeable pavement,Pocket wetland,Wetland conservation,,,3,Yes,Yes,Yes,City of Houston and other Municipalities (Municipal Utility District MUDs),,,Lack of educational resources for the community,,Slightly satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness,Better access to emergency resources and assistance",,Better information sharing,,I attend most meetings,Somewhat involved,"Coalition for Environment, Equity and Resilience (CEER)",,Other:,All of the above ,From Bayou City Waterkeeper,,Please type a number,56,Black or African American,,No,None of the above,Over 20 years,High school diploma or equivalent,$15000-$24999,,Houston,77026
English,25384576,10078,Neighborhood beautification,,A drainage ditch nearby,,Yes,Rarely (once a year or less),Rarely (once a year or less),Nearby waterways overflowing,,$0 ,Less than or at ankle level,Mental health impact,,Engaged with local authorities around flooding issues,,Wetland conservation,Rainwater harvesting,Nature-based detention pond,Large park,2,1,3,Yes,Yes,Yes,Harris County Flood Control District (HCFCD),,Moderate trust,"Attracting unwanted pests,Lack of educational resources for the community,Maintenance issues",,Very satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness,Better access to emergency resources and assistance,Improved use of technology for flood risk information",,"Better information sharing,Involving local schools and community groups,Providing resources for community action",,I occasionally attend meetings,Very involved,"Bayou City Waterkeeper (BCWK),Coalition for Environment, Equity and Resilience (CEER),Northeast Action Collective (NAC)",,Community bulletin posts,,From a neighbor,,Prefer not to answer,,White,,No,Prefer not to answer,11-20 years,Less than a high school diploma or equivalent,$35000-$49999,I own my home.,Houston,77093
English,24190489,1235,"Neighborhood beautification,Improved stormwater quality,Stress reduction",,"Long-standing water bodies,A drainage ditch nearby,Consistently-saturated soil",(1) Lake Houston Flatwood Wetlands,Yes,Always (every time it rains),Always (every time it rains),"Heavy rainfall or storms,Inadequate stormwater infrastructure size,Aging infrastructure",,$0 ,Between ankle and knee level,Displacement from home,,Engaged with local authorities around flooding issues,,Wetland conservation,I prefer not to implement small-scale GSI in my community,Nature-based detention pond,Wetland conservation,3,2,1,Yes,Yes,Yes,Harris County Flood Control District (HCFCD),,Slight trust,"Attracting unwanted pests,Increased taxes,Maintenance issues",,Not at all satisfied,"More frequent updates on local flood risks,Better access to emergency resources and assistance,Enhanced coordination with other local organizations/agencies",,"Better information sharing,Providing resources for community action,Host more regular and diverse community meetings representative of the community",,I occasionally attend meetings,Not at all involved,My local neighborhood association or homeowners association (HOA),,Newspaper articles/Flyers,,From an advertisement,,Please type a number,56,Black or African American,,No,None of the above,Over 20 years,Some college,$10000-$14999,I own my home.,Houston,77028
Spanish,44926902,542468,"Neighborhood beautification,Improved air quality,Stress reduction",,"Long-standing water bodies,A drainage ditch nearby,A creek nearby",(1) Lake Houston Flatwood Wetlands,Yes,Always (every time it rains),Sometimes (once every 2-6 months),"Heavy rainfall or storms,Blocked or clogged drainage systems,Inadequate stormwater infrastructure size",,$5000-$10000,Less than or at ankle level,"Property damage,Displacement from home,Interruption of utility services",,"Raised the foundation of my house,Requested assistance from local government to improve drainage",,"Nature-based detention pond,Large park,Rainwater harvesting,Wetland conservation",Permeable pavement,I prefer not to implement mid-scale GSI in my community,Large park,3,2,1,Yes,Yes,Yes,City of Houston and other Municipalities (Municipal Utility District MUDs),,Extreme trust,"Attracting unwanted pests,Equity in implementation,Displacement due to environmental projects,High installment costs,Increased taxes,Lack of educational resources for the community,Maintenance issues,Space requirements",,Slightly satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness,Better access to emergency resources and assistance,Increased opportunities for community feedback,Enhanced coordination with other local organizations/agencies,More targeted outreach to vulnerable populations,Improved use of technology for flood risk information,Improved translation and accessibility information for non-English speakers",,"Better information sharing,Establishing community advisory boards,Involving local schools and community groups,Providing resources for community action,Compensation for time,Host more regular and diverse community meetings representative of the community,Providing multilingual interpretation services,Providing child care",,I attend all meetings,Not at all involved,I am not part of any organizations focused on drainage and flooding issues,,Newspaper articles/Flyers,,From a co-worker,,Please type a number,41,White,,Yes,None of the above,Over 20 years,Associate's Degree or Technical Degree/Certification,$50000-$74999,I own my home.,Houston,77093
English,21446183,3735,"Neighborhood beautification,Improved stormwater quality,Increased property value",,Consistently-saturated soil,(1) Lake Houston Flatwood Wetlands,Yes,Sometimes (once every 2-6 months),Rarely (once a year or less),"Heavy rainfall or storms,Inadequate stormwater infrastructure size,Aging infrastructure",,$0 ,Not applicable (no experiences with flooding),I have not experienced any of these events,,Not applicable (flooding has not affected my residence) ,,I have not seen any of the GSI examples in my community,,I prefer not to implement mid-scale GSI in my community,I prefer not to implement large-scale GSI in my community,2,1,3,Yes,No,Yes,United States Environmental Protection Agency (US EPA),,Above average trust,Increased taxes,,Slightly satisfied,"Better access to emergency resources and assistance,Enhanced coordination with other local organizations/agencies,More targeted outreach to vulnerable populations",,,,I attend most meetings,Very involved,"My local neighborhood association or homeowners association (HOA),Other:"," 
",Phone Calls,,From a neighbor,,Please type a number,72,Black or African American,,No,None of the above,Over 20 years,Some college,$15000-$24999,I own my home.,Houston,77016
Spanish,44630313,3848,"Neighborhood beautification,Improved stormwater quality,Recreation",,"Long-standing water bodies,A drainage ditch nearby,Wildlife commonly found near water",(4) Trans-Brazos Region,Yes,Always (every time it rains),Always (every time it rains),"Blocked or clogged drainage systems,Aging infrastructure,Nearby waterways overflowing",,>$20000,Above the knee,"Property damage,Loss of work or income,Mental health impact,Displacement from home,Prevented or delayed access to essential services,Interruption of utility services,Increased cost for repairs or flood proofing",,"Raised the foundation of my house,Installed flood barriers or sandbags around my property",,I have not seen any of the GSI examples in my community,"Bioswale,Permeable pavement,Rain garden","Nature-based detention pond,Pocket prairie,Urban forestry","Large park,Wetland conservation,Wetland restoration (inland or coastal)",1,2,3,Yes,Yes,Yes,State of Texas,,Slight trust,"Attracting unwanted pests,Equity in implementation,High installment costs,Maintenance issues",,There is no information available,"More frequent updates on local flood risks,More detailed information about flood preparedness,Better access to emergency resources and assistance,Increased opportunities for community feedback,Enhanced coordination with other local organizations/agencies,More targeted outreach to vulnerable populations,Improved translation and accessibility information for non-English speakers",,"Better information sharing,Establishing community advisory boards,Involving local schools and community groups,Providing resources for community action,Compensation for time,Host more regular and diverse community meetings representative of the community,Providing multilingual interpretation services,Providing child care",,I attend all meetings,Moderately involved,I am not part of any organizations focused on drainage and flooding issues,,Newspaper articles/Flyers,,From a co-worker,,Please type a number,33,Other:,,Yes,Prefer not to answer,6-10 years,High school diploma or equivalent,Prefer not to answer,I own my home.,Houston,77037
English,48829159,1343,Neighborhood beautification,,Long-standing water bodies,(2) Greater Lake Creek,No,Never,Never,Blocked or clogged drainage systems,,$1000-$5000,Less than or at ankle level,Property damage,,Installed flood barriers or sandbags around my property,,"Bioswale,Nature-based detention pond,Large park",Permeable pavement,Nature-based detention pond,Wetland conservation,3,1,2,Yes,Yes,Yes,City of Houston and other Municipalities (Municipal Utility District MUDs),,Slight trust,Attracting unwanted pests,,Not at all satisfied,More frequent updates on local flood risks,,Better information sharing,,I attend most meetings,Not at all involved,West Street Recovery (WSR),,Newspaper articles/Flyers,,From Bayou City Waterkeeper,,Please type a number,36,Other:,,Yes,I live in a non-English proficient household,11-20 years,Less than a high school diploma or equivalent,$25000-$34999,I rent my home.,Houston,77093
English,16987786,6311,"Neighborhood beautification,Recreation,Other:",Stop the violence,"Long-standing water bodies,Aquatic (water) plants,A drainage ditch nearby,A creek nearby,Wildlife commonly found near water,Consistently-saturated soil",(1) Lake Houston Flatwood Wetlands,Yes,Often (At least once a month),Never,"Heavy rainfall or storms,Blocked or clogged drainage systems,Nearby waterways overflowing",,$1000-$5000,Less than or at ankle level,"Property damage,Loss of work or income,Prevented or delayed access to essential services,Interruption of utility services",,Other:,Park up on higher dryer land,"Nature-based detention pond,Large park,Permeable pavement,Pocket prairie,Pocket wetland,Rain garden,Rainwater harvesting,Urban forestry,Wetland conservation",Rain garden,Nature-based detention pond,Large park,,,3,Yes,Yes,Yes,Harris County Flood Control District (HCFCD),,Extreme trust,"Attracting unwanted pests,Equity in implementation,Space requirements",,Extremely satisfied,Increased opportunities for community feedback,,Providing resources for community action,,I rarely attend meetings,Very involved,Bayou City Waterkeeper (BCWK),,Community bulletin posts,,From an advertisement,,Please type a number,35,Black or African American,,No,None of the above,Over 20 years,High school diploma or equivalent,<$10000,I rent my home.,Baytown,77521
English,43393179,460,"Neighborhood beautification,Improved air quality,Increased property value",,I do not know,(3) Greater Katy Prairie-Pothole Pimple-Mound Complexes,I do not know,Often (At least once a month),Often (At least once a month),Nearby waterways overflowing,,$500-$1000,Not applicable (no experiences with flooding),"Property damage,Loss of work or income,Mental health impact,Displacement from home,Prevented or delayed access to essential services",,I have not taken any measures to address or reduce flooding,,Large park,Rain garden,Nature-based detention pond,Large park,,3,,I don't know,I don't know,I don't know,City of Houston and other Municipalities (Municipal Utility District MUDs),,Slight trust,Not fitting into community look/aesthetic,,Slightly satisfied,More detailed information about flood preparedness,,Host more regular and diverse community meetings representative of the community,,I rarely attend meetings,Somewhat involved,"Coalition for Environment, Equity and Resilience (CEER)",,Phone Calls,,From a co-worker,,Please type a number,25,Black or African American,,No,None of the above,6-10 years,Some college,$10000-$14999,I do not rent or own my home.,Houston,77020
English,23539107,1960,"Neighborhood beautification,Improved air quality,Improved soil quality",,"Long-standing water bodies,A drainage ditch nearby",I am not sure which critical wetland is located upstream of me.,Yes,Always (every time it rains),Often (At least once a month),"Heavy rainfall or storms,Blocked or clogged drainage systems,Aging infrastructure",,$1000-$5000,Between ankle and knee level,"Property damage,Mental health impact,Interruption of utility services",,Requested assistance from local government to improve drainage,,"Nature-based detention pond,Rain garden","Permeable pavement,Rainwater harvesting",,Wetland conservation,,,3,Yes,Yes,Yes,Harris County Flood Control District (HCFCD),,Moderate trust,"Attracting unwanted pests,Displacement due to environmental projects,Increased taxes,Lack of educational resources for the community",,Moderately satisfied,"More frequent updates on local flood risks,Better access to emergency resources and assistance,Increased opportunities for community feedback,Improved translation and accessibility information for non-English speakers",,"Better information sharing,Establishing community advisory boards,Providing resources for community action,Compensation for time,Host more regular and diverse community meetings representative of the community",,I rarely attend meetings,Not at all involved,I am not part of any organizations focused on drainage and flooding issues,,Newspaper articles/Flyers,,From a neighbor,,Please type a number,65,Black or African American,,No,I have a disability,Over 20 years,High school diploma or equivalent,$15000-$24999,I own my home.,Houston,77020
English,25960184,2539,Prefer not to answer,,"Long-standing water bodies,Aquatic (water) plants,A drainage ditch nearby",(1) Lake Houston Flatwood Wetlands,Yes,Rarely (once a year or less),Rarely (once a year or less),"Heavy rainfall or storms,Blocked or clogged drainage systems,Aging infrastructure",,$0 ,Less than or at ankle level,"Loss of work or income,Prevented or delayed access to essential services,Interruption of utility services",,,,"Nature-based detention pond,Rainwater harvesting,Urban forestry","Bioswale,Permeable pavement,Rain garden","Nature-based detention pond,Pocket prairie",Large park,2,,1,Yes,Yes,Yes,Harris County Flood Control District (HCFCD),,Moderate trust,"High installment costs,Increased taxes",,Moderately satisfied,More detailed information about flood preparedness,,"Better information sharing,Providing resources for community action,Compensation for time,Providing child care",,I rarely attend meetings,Not at all involved,"Bayou City Waterkeeper (BCWK),West Street Recovery (WSR),Coalition for Environment, Equity and Resilience (CEER),Northeast Action Collective (NAC)",,Newspaper articles/Flyers,,From a family member,,Please type a number,65,Black or African American,,No,None of the above,11-20 years,Less than a high school diploma or equivalent,$15000-$24999,I rent my home.,Houston,77026
English,2229667,784,Neighborhood beautification,,A drainage ditch nearby,I am not sure which critical wetland is located upstream of me.,Yes,Rarely (once a year or less),Sometimes (once every 2-6 months),Heavy rainfall or storms,,$0 ,Less than or at ankle level,I have not experienced any of these events,,I have not taken any measures to address or reduce flooding,,I have not seen any of the GSI examples in my community,Rain garden,Pocket prairie,Large park,3,2,,I don't know,Yes,Yes,City of Houston and other Municipalities (Municipal Utility District MUDs),,Above average trust,High installment costs,,Very satisfied,Increased opportunities for community feedback,,"Better information sharing,Host more regular and diverse community meetings representative of the community",,I rarely attend meetings,Extremely involved,Bayou City Waterkeeper (BCWK),,Phone Calls,,From a family member,,Please type a number,50,White,,Yes,None of the above,1-5 years,High school diploma or equivalent,$15000-$24999,I do not rent or own my home.,Baytown,77521
Spanish,43385821,14724,"Improved air quality,Improved stormwater quality,Recreation",,"A creek nearby,Consistently-saturated soil",I am not sure which critical wetland is located upstream of me.,No,Never,Always (every time it rains),Blocked or clogged drainage systems,,,Less than or at ankle level,Interruption of utility services,,,,"Nature-based detention pond,Rainwater harvesting","Bioswale,Rainwater harvesting",,,,,,Yes,Yes,Yes,State of Texas,,Slight trust,Attracting unwanted pests,,Slightly satisfied,More detailed information about flood preparedness,,Better information sharing,,I attend all meetings,Somewhat involved,Bayou City Waterkeeper (BCWK),,Facebook Posts,,From a family member,,Please type a number,76,White,,Yes,None of the above,Over 20 years,Prefer not to answer,Prefer not to answer,I do not rent or own my home.,Baytown,77520
Spanish,37036387,1012,"Improved stormwater quality,Recreation,Stress reduction",,Long-standing water bodies,I am not sure which critical wetland is located upstream of me.,Yes,Never,Sometimes (once every 2-6 months),"Heavy rainfall or storms,Blocked or clogged drainage systems,Increased development or urbanization",,<$500,Not applicable (no experiences with flooding),Increased cost for repairs or flood proofing,,Not applicable (flooding has not affected my residence) ,,I have not seen any of the GSI examples in my community,Rain garden,Nature-based detention pond,I prefer not to implement large-scale GSI in my community,1,3,2,Yes,Yes,Yes,City of Houston and other Municipalities (Municipal Utility District MUDs),,Slight trust,Maintenance issues,,Slightly satisfied,Better access to emergency resources and assistance,,Establishing community advisory boards,,I attend most meetings,Somewhat involved,I am not part of any organizations focused on drainage and flooding issues,,Facebook Posts,,From a co-worker,,Please type a number,55,"White,Other:",Hispanic/Latino,Yes,None of the above,Over 20 years,High school diploma or equivalent,$50000-$74999,I own my home.,Houston,77076
Spanish,32785102,2073,Improved stormwater quality,,A drainage ditch nearby,(1) Lake Houston Flatwood Wetlands,Yes,Always (every time it rains),,"Heavy rainfall or storms,Inadequate stormwater infrastructure size",,I do not know,Less than or at ankle level,Loss of work or income,,Only my landlord can take action to address or reduce flooding at my residence,,Large park,Rain garden,Urban forestry,Large park,,,3,Yes,Yes,Yes,City of Houston and other Municipalities (Municipal Utility District MUDs),,Moderate trust,Attracting unwanted pests,,Moderately satisfied,More detailed information about flood preparedness,,Host more regular and diverse community meetings representative of the community,,I occasionally attend meetings,Moderately involved,My local neighborhood association or homeowners association (HOA),,Community bulletin posts,,From a neighbor,,Please type a number,42,Other:,,Yes,None of the above,Over 20 years,Less than a high school diploma or equivalent,$10000-$14999,I rent my home.,Houston,77022
Spanish,23283698,2491,"Neighborhood beautification,Improved stormwater quality,Recreation",,"Long-standing water bodies,A drainage ditch nearby,Wildlife commonly found near water",(1) Lake Houston Flatwood Wetlands,Yes,Rarely (once a year or less),Sometimes (once every 2-6 months),"Heavy rainfall or storms,Blocked or clogged drainage systems,Inadequate stormwater infrastructure size",,$0 ,Less than or at ankle level,I have not experienced any of these events,,I have not taken any measures to address or reduce flooding,,I have not seen any of the GSI examples in my community,Rainwater harvesting,I prefer not to implement mid-scale GSI in my community,Wetland restoration (inland or coastal),3,2,1,Yes,Yes,Yes,I do not know,,Slight trust,"Attracting unwanted pests,Increased taxes",,There is no information available,"Better access to emergency resources and assistance,Enhanced coordination with other local organizations/agencies,More targeted outreach to vulnerable populations,Improved use of technology for flood risk information,Improved translation and accessibility information for non-English speakers",,"Better information sharing,Involving local schools and community groups,Compensation for time",,I occasionally attend meetings,Somewhat involved,I am not part of any organizations focused on drainage and flooding issues,,Community bulletin posts,,From a family member,,Please type a number,50,American Indian or Alaska Native,,Yes,None of the above,Over 20 years,Bachelor's Degree,$50000-$74999,I own my home.,Baytown,77520
Spanish,49349459,1452,"Improved air quality,Improved stormwater quality,Increased property value",,"Long-standing water bodies,A drainage ditch nearby,Wildlife commonly found near water",(1) Lake Houston Flatwood Wetlands,Yes,Sometimes (once every 2-6 months),Often (At least once a month),"Blocked or clogged drainage systems,Inadequate stormwater infrastructure size,Nearby waterways overflowing",,>$20000,Between ankle and knee level,"Property damage,Loss of work or income,Mental health impact,Interruption of utility services",,"Installed flood barriers or sandbags around my property,Requested assistance from local government to improve drainage,Only my landlord can take action to address or reduce flooding at my residence",,I have not seen any of the GSI examples in my community,Permeable pavement,Urban forestry,Large park,3,2,1,Yes,Yes,Yes,State of Texas,,Moderate trust,"High installment costs,Maintenance issues",,Moderately satisfied,"More detailed information about flood preparedness,Enhanced coordination with other local organizations/agencies,Improved use of technology for flood risk information",,"Better information sharing,Providing resources for community action,Providing multilingual interpretation services",,I occasionally attend meetings,Somewhat involved,Bayou City Waterkeeper (BCWK),,Phone Calls,,From a neighbor,,Please type a number,67,White,,Yes,I live in a non-English proficient household,Over 20 years,Prefer not to answer,$10000-$14999,I own my home.,Houston,77078
Spanish,37256261,3241,"Improved air quality,Improved stormwater quality,Improved soil quality",,A drainage ditch nearby,I am not sure which critical wetland is located upstream of me.,Yes,Rarely (once a year or less),Rarely (once a year or less),Inadequate stormwater infrastructure size,,I do not know,Less than or at ankle level,Interruption of utility services,,Requested assistance from local government to improve drainage,,I have not seen any of the GSI examples in my community,Rainwater harvesting,I prefer not to implement mid-scale GSI in my community,Large park,,,3,Yes,Yes,Yes,City of Houston and other Municipalities (Municipal Utility District MUDs),,Moderate trust,Attracting unwanted pests,,Moderately satisfied,More frequent updates on local flood risks,,"Better information sharing,Establishing community advisory boards,Host more regular and diverse community meetings representative of the community",,I rarely attend meetings,Moderately involved,I am not part of any organizations focused on drainage and flooding issues,,Facebook Posts,,From a family member,,Please type a number,50,Other:,,Yes,None of the above,Over 20 years,Prefer not to answer,$15000-$24999,I rent my home.,Houston,77022
Spanish,33671928,2385,"Neighborhood beautification,Improved air quality,Improved stormwater quality",,"Long-standing water bodies,A creek nearby,Wildlife commonly found near water",(3) Greater Katy Prairie-Pothole Pimple-Mound Complexes,I do not know,Sometimes (once every 2-6 months),Rarely (once a year or less),"Heavy rainfall or storms,Blocked or clogged drainage systems,Other:",The cleaning of all the communities has seen a lot of garbage thrown all over the area and no one picks up large trash from clothes racks etc.,$5000-$10000,Between ankle and knee level,"Property damage,Mental health impact,Displacement from home,Interruption of utility services,Increased cost for repairs or flood proofing",,Installed flood barriers or sandbags around my property,,I have not seen any of the GSI examples in my community,,,Large park,,,,Yes,Yes,Yes,I do not know,,No trust,There are no concerns,,Not at all satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness,Better access to emergency resources and assistance,Increased opportunities for community feedback,Enhanced coordination with other local organizations/agencies,More targeted outreach to vulnerable populations,Improved use of technology for flood risk information,Improved translation and accessibility information for non-English speakers",,"Better information sharing,Establishing community advisory boards,Involving local schools and community groups,Providing resources for community action,Compensation for time,Host more regular and diverse community meetings representative of the community,Providing multilingual interpretation services",,There are no meetings available related to this topic,Somewhat involved,,,Community bulletin posts,,Other:,"By Community News, PTA Parents",Please type a number,32,"White,Other:",,Yes,None of the above,6-10 years,High school diploma or equivalent,$10000-$14999,I own my home.,Houston,77022
Spanish,45067859,626,"Neighborhood beautification,Improved air quality,Increased property value",,"Long-standing water bodies,A drainage ditch nearby,A creek nearby",(1) Lake Houston Flatwood Wetlands,Yes,Rarely (once a year or less),Rarely (once a year or less),"Heavy rainfall or storms,Blocked or clogged drainage systems,Inadequate stormwater infrastructure size",,$10000-$20000,Less than or at ankle level,"Property damage,Mental health impact",,I have not taken any measures to address or reduce flooding,,Large park,Rain garden,Pocket prairie,Large park,,,1,Yes,Yes,Yes,City of Houston and other Municipalities (Municipal Utility District MUDs),,No trust,"Equity in implementation,Displacement due to environmental projects,Increased taxes",,Slightly satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness,Better access to emergency resources and assistance,Increased opportunities for community feedback,Enhanced coordination with other local organizations/agencies,More targeted outreach to vulnerable populations,Improved use of technology for flood risk information,Improved translation and accessibility information for non-English speakers",,"Better information sharing,Establishing community advisory boards,Involving local schools and community groups,Providing resources for community action,Compensation for time,Host more regular and diverse community meetings representative of the community,Providing multilingual interpretation services,Providing child care",,I occasionally attend meetings,Moderately involved,I am not part of any organizations focused on drainage and flooding issues,,Newspaper articles/Flyers,,From an advertisement,,Please type a number,65,White,,Yes,I live in a non-English proficient household,11-20 years,Less than a high school diploma or equivalent,<$10000,I own my home.,Houston,77078
Spanish,43912708,1256,"Neighborhood beautification,Improved air quality",,,(1) Lake Houston Flatwood Wetlands,Yes,Rarely (once a year or less),Rarely (once a year or less),Heavy rainfall or storms,,$500-$1000,Less than or at ankle level,Interruption of utility services,,Requested assistance from local government to improve drainage,,I have not seen any of the GSI examples in my community,Rainwater harvesting,,,2,1,3,Yes,,,,,Slight trust,Space requirements,,Moderately satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness",,"Better information sharing,Establishing community advisory boards",,I occasionally attend meetings,Somewhat involved,My local neighborhood association or homeowners association (HOA),,Facebook Posts,,From a co-worker,,Please type a number,56,"White,Other:",,Yes,None of the above,Over 20 years,Less than a high school diploma or equivalent,$35000-$49999,I own my home.,Houston,77093
